,DailyAverageDewPointTemperature,DailyAverageDryBulbTemperature,DailyAverageRelativeHumidity,DailyAverageSeaLevelPressure,DailyAverageStationPressure,DailyAverageWetBulbTemperature,DailyAverageWindSpeed,DailyCoolingDegreeDays,DailyDepartureFromNormalAverageTemperature,DailyHeatingDegreeDays,DailyMinimumDryBulbTemperature,DailyPeakWindDirection,DailyPeakWindSpeed,DailyPrecipitation,DailySnowDepth,DailySnowfall,DailySustainedWindDirection,DailySustainedWindSpeed,Sunrise,Sunset,target
1228,51.0,67.0,54.0,30.01,29.68,59.0,3.9,2.0,-0.3,0.0,50.0,330.0,22.0,0.0,0.0,0.0,310.0,16.0,416.0,1935.0,84.0
206,64.0,77.0,68.0,29.86,29.56,68.0,5.9,12.0,7.7,0.0,68.0,170.0,21.0,0.0,0.0,0.0,160.0,16.0,511.0,1843.0,85.0
785,21.0,37.0,51.0,30.22,29.9,32.0,5.8,0.0,-3.3,28.0,26.0,50.0,19.0,0.08,0.0,0.8,40.0,15.0,541.0,1819.0,48.0
2349,65.0,72.0,89.0,30.05,29.75,67.0,6.1,7.0,-0.1,0.0,65.0,350.0,19.0,0.66,0.0,0.0,330.0,14.0,432.0,1930.0,78.0
248,40.0,51.0,71.0,30.21,29.91,45.0,1.8,0.0,-3.2,14.0,38.0,330.0,10.0,0.0,0.0,0.0,330.0,8.0,557.0,1730.0,63.0
1901,28.0,54.0,37.0,30.02,29.69,44.0,2.3,0.0,2.4,11.0,41.0,150.0,15.0,0.0,0.0,0.0,350.0,10.0,457.0,1850.0,67.0
1932,60.0,77.0,58.0,30.14,29.83,66.0,6.8,12.0,15.8,0.0,64.0,160.0,21.0,0.0,0.0,0.0,160.0,16.0,423.0,1922.0,90.0
2555,26.0,33.0,75.0,29.95,29.62,31.0,10.9,0.0,8.6,32.0,28.0,260.0,34.0,0.0,2.0,0.0,280.0,23.0,702.0,1718.0,37.0
463,48.0,55.0,74.0,29.75,29.46,52.0,6.0,0.0,-0.6,10.0,43.0,180.0,22.0,0.0,0.0,0.0,170.0,15.0,441.0,1903.0,66.0
839,47.0,60.0,64.0,29.89,29.59,53.0,2.8,0.0,0.0,5.0,46.0,310.0,14.0,0.0,0.0,0.0,190.0,10.0,426.0,1919.0,73.0
1058,-11.0,2.0,51.0,30.53,30.19,1.0,13.2,0.0,-22.8,63.0,-5.0,280.0,30.0,0.0,3.0,0.0,280.0,24.0,725.0,1629.0,8.0
1021,25.0,44.0,46.0,29.97,29.66,37.0,13.3,0.0,5.7,21.0,33.0,180.0,37.0,0.0,0.0,0.0,180.0,28.0,654.0,1628.0,54.0
350,22.0,33.0,68.0,29.84,29.54,28.0,1.7,0.0,10.9,32.0,23.0,40.0,11.0,0.0,0.0,0.0,40.0,9.0,723.0,1647.0,42.0
1587,49.0,61.0,64.0,29.83,29.49,55.0,10.3,0.0,-5.7,4.0,53.0,270.0,37.0,0.0,0.0,0.0,280.0,30.0,416.0,1935.0,68.0
1162,21.0,36.0,51.0,30.12,29.8,32.0,6.3,0.0,-9.7,29.0,21.0,230.0,22.0,0.0,0.0,0.0,230.0,17.0,521.0,1833.0,50.0
734,15.0,30.0,50.0,29.92,29.62,26.0,11.1,0.0,6.1,35.0,22.0,310.0,37.0,0.0,0.0,0.0,300.0,30.0,706.0,1714.0,37.0
23,23.0,28.0,78.0,29.55,29.28,27.0,7.0,0.0,5.6,37.0,22.0,290.0,34.0,0.06,0.0,0.8,290.0,28.0,718.0,1658.0,34.0
205,61.0,73.0,67.0,30.0,29.7,66.0,3.8,8.0,3.5,0.0,60.0,70.0,11.0,0.0,0.0,0.0,10.0,8.0,510.0,1845.0,85.0
527,62.0,71.0,81.0,29.87,29.53,65.0,9.5,6.0,-0.8,0.0,63.0,300.0,29.0,0.25,0.0,0.0,270.0,23.0,427.0,1934.0,79.0
729,14.0,19.0,76.0,29.89,29.57,19.0,2.1,0.0,-4.1,46.0,11.0,170.0,17.0,0.06,0.0,1.7,160.0,13.0,711.0,1707.0,26.0
2111,32.0,41.0,69.0,30.37,30.01,38.0,9.2,0.0,3.1,24.0,34.0,280.0,32.0,0.0,0.0,0.0,280.0,24.0,655.0,1627.0,48.0
1708,36.0,51.0,63.0,30.11,29.8,43.0,1.5,0.0,0.8,14.0,39.0,320.0,12.0,0.0,0.0,0.0,320.0,10.0,608.0,1713.0,62.0
192,56.0,74.0,56.0,30.01,29.7,63.0,5.7,9.0,2.7,0.0,62.0,100.0,14.0,0.0,0.0,0.0,100.0,12.0,455.0,1906.0,85.0
1085,16.0,30.0,61.0,29.97,29.58,24.0,16.5,0.0,7.6,35.0,18.0,280.0,40.0,0.0,0.0,0.0,280.0,31.0,718.0,1658.0,41.0
1230,66.0,84.0,64.0,29.83,29.55,71.0,9.5,19.0,16.2,0.0,71.0,330.0,37.0,0.51,0.0,0.0,290.0,28.0,416.0,1936.0,97.0
594,47.0,59.0,64.0,30.27,29.96,53.0,5.1,0.0,-2.9,6.0,43.0,180.0,20.0,0.0,0.0,0.0,180.0,15.0,537.0,1802.0,75.0
2285,36.0,55.0,50.0,30.19,29.87,47.0,5.0,0.0,-2.4,10.0,37.0,310.0,25.0,0.0,0.0,0.0,320.0,18.0,434.0,1910.0,72.0
167,56.0,67.0,64.0,29.76,29.41,62.0,9.3,2.0,-5.1,0.0,59.0,10.0,28.0,0.0,0.0,0.0,20.0,21.0,430.0,1932.0,75.0
2469,32.0,40.0,66.0,29.82,29.49,38.0,7.7,0.0,-0.7,25.0,31.0,160.0,24.0,0.11,0.0,0.0,160.0,17.0,645.0,1633.0,49.0
2243,12.0,30.0,49.0,30.18,29.83,24.0,12.3,0.0,-11.7,35.0,24.0,320.0,31.0,0.0,0.0,0.0,330.0,21.0,536.0,1822.0,36.0
1234,52.0,63.0,70.0,29.89,29.6,57.0,4.1,0.0,-6.1,2.0,57.0,280.0,13.0,0.33,0.0,0.0,340.0,10.0,417.0,1937.0,69.0
2136,5.0,14.0,69.0,30.41,30.09,12.0,8.0,0.0,-14.2,51.0,10.0,350.0,16.0,0.27,0.0,3.2,30.0,13.0,720.0,1623.0,18.0
2075,47.0,50.0,97.0,30.12,29.8,47.0,4.9,0.0,0.5,15.0,43.0,270.0,16.0,0.37,0.0,0.0,300.0,12.0,611.0,1710.0,56.0
202,66.0,82.0,62.0,29.97,29.67,71.0,11.4,17.0,12.0,0.0,73.0,150.0,33.0,0.0,0.0,0.0,160.0,22.0,507.0,1850.0,90.0
635,32.0,41.0,74.0,30.14,29.8,37.0,9.6,0.0,-4.6,24.0,34.0,290.0,33.0,0.04,1.0,0.0,290.0,24.0,625.0,1652.0,47.0
1862,31.0,43.0,70.0,30.17,29.85,37.0,11.5,0.0,7.8,22.0,35.0,330.0,31.0,0.02,0.0,0.2,330.0,22.0,603.0,1805.0,51.0
1681,45.0,59.0,66.0,30.29,29.96,51.0,5.7,0.0,-2.5,6.0,48.0,340.0,23.0,0.0,0.0,0.0,340.0,18.0,538.0,1800.0,69.0
1161,18.0,37.0,49.0,30.17,29.84,30.0,6.1,0.0,-8.2,28.0,27.0,270.0,24.0,0.0,0.0,0.0,270.0,18.0,523.0,1831.0,47.0
879,63.0,75.0,69.0,29.93,29.62,67.0,6.6,10.0,4.2,0.0,65.0,270.0,24.0,0.0,0.0,0.0,290.0,18.0,421.0,1937.0,85.0
454,21.0,47.0,36.0,30.04,29.7,37.0,7.1,0.0,-5.7,18.0,35.0,40.0,22.0,0.0,0.0,0.0,20.0,17.0,453.0,1853.0,58.0
136,58.0,72.0,62.0,30.04,29.73,64.0,3.1,7.0,5.3,0.0,61.0,170.0,22.0,0.0,0.0,0.0,170.0,16.0,416.0,1935.0,83.0
1119,23.0,42.0,51.0,30.26,29.95,34.0,5.6,0.0,13.0,23.0,28.0,270.0,25.0,0.0,0.0,0.0,260.0,18.0,635.0,1742.0,56.0
1530,38.0,52.0,61.0,30.0,29.72,46.0,13.7,0.0,3.4,13.0,46.0,170.0,36.0,0.04,0.0,0.0,190.0,25.0,509.0,1841.0,58.0
2474,29.0,37.0,67.0,30.21,29.83,35.0,11.2,0.0,-2.0,28.0,28.0,290.0,38.0,0.0,0.0,0.0,280.0,30.0,652.0,1629.0,45.0
842,53.0,58.0,89.0,29.63,29.28,54.0,6.0,0.0,-2.9,7.0,53.0,30.0,16.0,0.37,0.0,0.0,330.0,12.0,423.0,1922.0,62.0
295,26.0,38.0,60.0,30.18,29.89,34.0,3.9,0.0,-0.3,27.0,28.0,150.0,24.0,0.0,0.0,0.0,160.0,17.0,654.0,1628.0,48.0
971,42.0,54.0,71.0,30.43,30.09,48.0,2.1,0.0,-1.4,11.0,39.0,340.0,13.0,0.0,0.0,0.0,320.0,9.0,553.0,1735.0,69.0
580,53.0,68.0,62.0,30.11,29.78,59.0,5.6,3.0,1.1,0.0,57.0,10.0,20.0,0.0,0.0,0.0,30.0,15.0,522.0,1827.0,78.0
2045,47.0,56.0,75.0,30.13,29.83,51.0,9.9,0.0,-5.9,9.0,43.0,180.0,30.0,0.0,0.0,0.0,160.0,22.0,537.0,1802.0,68.0
486,64.0,75.0,77.0,29.92,29.62,67.0,8.7,10.0,12.5,0.0,65.0,250.0,23.0,0.61,0.0,0.0,240.0,17.0,420.0,1926.0,84.0
76,21.0,52.0,30.0,30.24,29.92,40.0,7.1,0.0,4.7,13.0,36.0,350.0,29.0,0.0,0.0,0.0,320.0,23.0,514.0,1837.0,67.0
903,58.0,68.0,72.0,30.18,29.88,62.0,4.5,3.0,-4.1,0.0,57.0,170.0,19.0,0.0,0.0,0.0,190.0,14.0,440.0,1923.0,78.0
2244,13.0,36.0,41.0,30.27,29.95,29.0,6.9,0.0,-6.1,29.0,22.0,260.0,20.0,0.0,0.0,0.0,260.0,16.0,534.0,1823.0,50.0
1029,29.0,42.0,57.0,30.14,29.78,38.0,11.1,0.0,6.7,23.0,28.0,280.0,42.0,0.0,0.0,0.0,300.0,32.0,703.0,1623.0,56.0
1786,23.0,37.0,59.0,29.7,29.38,31.0,9.4,0.0,13.4,28.0,34.0,280.0,30.0,0.0,0.0,0.0,280.0,23.0,726.0,1632.0,40.0
1915,21.0,39.0,51.0,29.79,29.44,32.0,19.9,0.0,-17.2,26.0,33.0,290.0,31.0,0.0,0.0,0.0,290.0,31.0,438.0,1905.0,45.0
2594,48.0,53.0,82.0,29.77,29.48,51.0,7.8,0.0,17.4,12.0,43.0,170.0,28.0,0.28,0.0,0.0,160.0,21.0,601.0,1806.0,63.0
969,45.0,49.0,82.0,30.24,29.88,48.0,6.5,0.0,-7.3,16.0,43.0,10.0,21.0,0.11,0.0,0.0,360.0,16.0,551.0,1739.0,54.0
1108,34.0,38.0,79.0,29.77,29.38,38.0,8.9,0.0,11.9,27.0,28.0,270.0,40.0,0.04,0.0,0.0,280.0,30.0,651.0,1728.0,47.0
1994,68.0,79.0,69.0,29.76,29.47,72.0,7.0,14.0,6.9,0.0,64.0,280.0,24.0,0.0,0.0,0.0,280.0,20.0,442.0,1920.0,93.0
707,1.0,13.0,53.0,30.63,30.27,12.0,8.1,0.0,-9.4,52.0,4.0,170.0,26.0,0.0,0.0,0.0,180.0,21.0,725.0,1640.0,21.0
2093,25.0,33.0,73.0,30.03,29.62,30.0,9.2,0.0,-10.8,32.0,25.0,240.0,39.0,0.21,0.0,0.0,260.0,26.0,633.0,1644.0,41.0
134,61.0,73.0,69.0,29.9,29.6,65.0,5.3,8.0,6.9,0.0,61.0,330.0,41.0,1.62,0.0,0.0,330.0,32.0,416.0,1934.0,85.0
367,29.0,45.0,54.0,29.83,29.47,39.0,12.6,0.0,21.7,20.0,35.0,320.0,34.0,0.0,0.0,0.0,320.0,26.0,710.0,1708.0,54.0
1203,51.0,59.0,76.0,30.05,29.75,55.0,7.4,0.0,-0.7,6.0,55.0,180.0,28.0,0.12,0.0,0.0,170.0,20.0,426.0,1918.0,63.0
1881,42.0,55.0,65.0,30.0,29.68,48.0,6.4,0.0,11.5,10.0,47.0,270.0,24.0,0.0,0.0,0.0,290.0,20.0,529.0,1827.0,62.0
2071,38.0,46.0,73.0,30.23,29.93,43.0,4.6,0.0,-4.9,19.0,38.0,150.0,21.0,0.0,0.0,0.0,140.0,15.0,606.0,1716.0,54.0
1953,48.0,66.0,53.0,30.36,30.05,57.0,2.6,1.0,-1.5,0.0,49.0,30.0,15.0,0.0,0.0,0.0,40.0,10.0,416.0,1936.0,83.0
1389,35.0,40.0,86.0,29.76,29.48,37.0,3.5,0.0,3.6,25.0,34.0,130.0,21.0,0.4,0.0,0.0,120.0,14.0,700.0,1625.0,45.0
1068,-11.0,4.0,47.0,30.46,30.13,2.0,7.1,0.0,-18.7,61.0,-9.0,170.0,25.0,0.0,5.0,0.0,170.0,18.0,726.0,1638.0,16.0
2447,37.0,46.0,69.0,29.99,29.66,42.0,5.1,0.0,-1.5,19.0,37.0,290.0,19.0,0.0,0.0,0.0,310.0,15.0,618.0,1701.0,55.0
2250,42.0,58.0,57.0,30.08,29.77,50.0,11.1,0.0,13.2,7.0,46.0,180.0,23.0,0.0,0.0,0.0,170.0,17.0,524.0,1830.0,70.0
471,30.0,46.0,56.0,29.75,29.41,39.0,17.3,0.0,-12.0,19.0,39.0,280.0,38.0,0.0,0.0,0.0,290.0,29.0,432.0,1912.0,52.0
396,3.0,30.0,33.0,30.04,29.73,23.0,7.9,0.0,0.4,35.0,21.0,280.0,49.0,0.0,0.0,0.0,290.0,33.0,630.0,1746.0,38.0
584,60.0,73.0,67.0,30.06,29.75,65.0,6.6,8.0,7.3,0.0,61.0,20.0,19.0,0.0,0.0,0.0,20.0,15.0,526.0,1820.0,85.0
30,-5.0,7.0,51.0,30.17,29.83,6.0,14.2,0.0,-16.1,58.0,-1.0,280.0,39.0,0.0,4.0,0.0,280.0,31.0,711.0,1707.0,14.0
182,66.0,79.0,68.0,29.81,29.52,70.0,8.0,14.0,7.0,0.0,69.0,250.0,25.0,0.3,0.0,0.0,260.0,20.0,444.0,1918.0,88.0
236,48.0,61.0,69.0,30.27,29.96,53.0,2.0,0.0,1.6,4.0,46.0,350.0,12.0,0.0,0.0,0.0,320.0,8.0,543.0,1751.0,76.0
573,66.0,77.0,71.0,30.0,29.66,70.0,8.8,12.0,8.3,0.0,66.0,290.0,21.0,0.06,0.0,0.0,280.0,17.0,514.0,1839.0,87.0
2429,56.0,59.0,91.0,30.26,29.91,57.0,0.3,0.0,4.8,6.0,56.0,180.0,8.0,0.19,0.0,0.0,180.0,6.0,557.0,1730.0,61.0
498,50.0,57.0,82.0,29.85,29.57,53.0,2.9,0.0,-9.1,8.0,45.0,100.0,14.0,0.45,0.0,0.0,220.0,12.0,416.0,1934.0,68.0
2373,69.0,75.0,84.0,30.07,29.77,71.0,9.8,10.0,3.8,0.0,67.0,160.0,27.0,0.0,0.0,0.0,160.0,21.0,456.0,1905.0,83.0
1232,51.0,67.0,56.0,29.83,29.5,59.0,6.9,2.0,-1.6,0.0,54.0,10.0,22.0,0.0,0.0,0.0,20.0,15.0,417.0,1937.0,80.0
775,16.0,37.0,44.0,30.24,29.91,30.0,7.8,0.0,1.4,28.0,30.0,30.0,23.0,0.0,11.0,0.0,20.0,17.0,601.0,1806.0,44.0
616,52.0,59.0,76.0,30.07,29.75,56.0,7.5,0.0,6.5,6.0,52.0,180.0,26.0,0.03,0.0,0.0,190.0,20.0,601.0,1723.0,66.0
195,58.0,73.0,63.0,29.84,29.51,64.0,9.5,8.0,2.0,0.0,63.0,280.0,24.0,0.0,0.0,0.0,310.0,18.0,458.0,1902.0,82.0
692,21.0,32.0,57.0,30.53,30.14,30.0,12.0,0.0,6.7,33.0,21.0,290.0,26.0,0.0,0.0,0.0,290.0,21.0,724.0,1627.0,43.0
1637,53.0,69.0,57.0,29.98,29.67,60.0,2.3,4.0,-2.6,0.0,54.0,180.0,12.0,0.0,0.0,0.0,130.0,9.0,451.0,1911.0,83.0
1828,22.0,36.0,53.0,30.07,29.75,32.0,8.7,0.0,10.8,29.0,31.0,290.0,34.0,0.0,1.0,0.0,290.0,21.0,657.0,1723.0,41.0
1168,28.0,39.0,64.0,29.61,29.28,35.0,11.4,0.0,-9.2,26.0,33.0,250.0,31.0,0.01,0.0,0.0,270.0,23.0,511.0,1839.0,45.0
824,31.0,44.0,64.0,29.86,29.52,38.0,11.9,0.0,-11.6,21.0,39.0,280.0,30.0,0.0,0.0,0.0,280.0,23.0,441.0,1903.0,49.0
235,48.0,60.0,71.0,30.3,29.98,53.0,1.1,0.0,0.2,5.0,50.0,340.0,7.0,0.0,0.0,0.0,350.0,7.0,542.0,1753.0,70.0
1589,62.0,66.0,87.0,29.85,29.54,63.0,4.6,1.0,-1.3,0.0,63.0,170.0,14.0,0.75,0.0,0.0,170.0,12.0,416.0,1935.0,68.0
2600,38.0,48.0,73.0,29.58,29.28,43.0,5.8,0.0,9.8,17.0,39.0,280.0,22.0,0.3,0.0,0.0,270.0,18.0,550.0,1813.0,57.0
