,DailyAverageDewPointTemperature,DailyAverageDryBulbTemperature,DailyAverageRelativeHumidity,DailyAverageSeaLevelPressure,DailyAverageStationPressure,DailyAverageWetBulbTemperature,DailyAverageWindSpeed,DailyCoolingDegreeDays,DailyDepartureFromNormalAverageTemperature,DailyHeatingDegreeDays,DailyMinimumDryBulbTemperature,DailyPeakWindDirection,DailyPeakWindSpeed,DailyPrecipitation,DailySnowDepth,DailySnowfall,DailySustainedWindDirection,DailySustainedWindSpeed,Sunrise,Sunset,target
161,60.0,69.0,75.0,29.93,29.65,63.0,5.1,4.0,-2.7,0.0,62.0,200.0,17.0,0.9,0.0,0.0,200.0,13.0,426.0,1935.0,76.0
12,-2.0,15.0,57.0,30.65,30.27,7.0,10.0,0.0,-7.2,50.0,-2.0,10.0,26.0,0.0,3.0,0.0,10.0,21.0,724.0,1644.0,31.0
669,30.0,43.0,62.0,29.8,29.47,37.0,10.7,0.0,9.3,22.0,36.0,290.0,32.0,0.0,0.0,0.0,290.0,25.0,708.0,1622.0,49.0
263,38.0,55.0,61.0,30.15,29.82,46.0,5.8,0.0,6.6,10.0,45.0,170.0,21.0,0.05,0.0,0.0,170.0,16.0,614.0,1705.0,64.0
2626,26.0,42.0,51.0,30.3,29.91,37.0,12.0,0.0,-7.4,23.0,32.0,290.0,34.0,0.0,0.0,0.0,270.0,28.0,506.0,1843.0,52.0
2182,0.0,5.0,73.0,30.34,30.01,5.0,2.8,0.0,-18.1,60.0,-7.0,340.0,12.0,0.0,2.0,0.0,350.0,10.0,711.0,1707.0,17.0
2193,8.0,19.0,62.0,30.29,29.96,17.0,6.2,0.0,-6.0,46.0,12.0,320.0,23.0,0.0,6.0,0.0,320.0,20.0,658.0,1721.0,26.0
728,11.0,24.0,58.0,29.83,29.47,21.0,10.0,0.0,1.0,41.0,17.0,300.0,28.0,0.0,0.0,0.0,290.0,21.0,712.0,1706.0,30.0
1787,23.0,36.0,56.0,29.84,29.52,32.0,9.2,0.0,12.6,29.0,26.0,180.0,21.0,0.0,0.0,0.0,170.0,16.0,726.0,1633.0,45.0
2603,3.0,23.0,45.0,29.91,29.58,17.0,18.0,0.0,-16.5,42.0,18.0,270.0,39.0,0.0,0.0,0.0,270.0,31.0,545.0,1817.0,27.0
1952,47.0,64.0,56.0,30.41,30.09,55.0,3.1,0.0,-3.3,1.0,49.0,40.0,14.0,0.0,0.0,0.0,40.0,12.0,416.0,1935.0,78.0
2612,37.0,52.0,58.0,29.89,29.58,45.0,6.9,0.0,8.5,13.0,45.0,160.0,21.0,0.0,0.0,0.0,140.0,14.0,529.0,1827.0,59.0
2113,33.0,35.0,85.0,30.0,29.65,35.0,10.0,0.0,-2.2,30.0,27.0,290.0,38.0,0.54,0.0,0.0,280.0,28.0,658.0,1626.0,43.0
2294,58.0,65.0,75.0,29.98,29.65,61.0,11.3,0.0,5.0,0.0,51.0,290.0,29.0,0.0,0.0,0.0,290.0,23.0,426.0,1919.0,78.0
1165,27.0,39.0,62.0,30.13,29.77,34.0,14.3,0.0,-7.9,26.0,28.0,360.0,35.0,0.0,0.0,0.0,10.0,25.0,516.0,1836.0,49.0
1172,21.0,47.0,39.0,30.34,30.01,37.0,11.2,0.0,-2.8,18.0,34.0,290.0,34.0,0.0,0.0,0.0,280.0,22.0,505.0,1844.0,60.0
643,36.0,45.0,70.0,30.14,29.83,41.0,4.4,0.0,1.8,20.0,32.0,290.0,27.0,0.0,0.0,0.0,290.0,22.0,635.0,1642.0,57.0
704,7.0,19.0,56.0,30.11,29.73,18.0,7.8,0.0,-3.8,46.0,12.0,290.0,24.0,0.0,0.0,0.1,280.0,21.0,726.0,1637.0,26.0
460,45.0,50.0,85.0,29.81,29.49,48.0,4.3,0.0,-4.6,15.0,48.0,180.0,16.0,0.29,0.0,0.0,190.0,12.0,445.0,1900.0,52.0
2387,67.0,73.0,83.0,29.93,29.59,69.0,5.7,8.0,3.7,0.0,62.0,270.0,19.0,0.0,0.0,0.0,290.0,15.0,511.0,1843.0,84.0
1581,41.0,67.0,43.0,30.17,29.83,54.0,4.9,2.0,2.1,0.0,53.0,50.0,18.0,0.0,0.0,0.0,20.0,15.0,417.0,1931.0,80.0
1689,54.0,61.0,77.0,29.81,29.49,57.0,7.5,0.0,2.9,4.0,53.0,170.0,24.0,0.23,0.0,0.0,170.0,17.0,547.0,1746.0,69.0
2233,27.0,48.0,45.0,30.26,29.94,41.0,6.4,0.0,10.7,17.0,30.0,150.0,19.0,0.0,0.0,0.0,150.0,15.0,554.0,1811.0,66.0
2367,57.0,65.0,77.0,30.14,29.82,61.0,2.1,0.0,-6.7,0.0,52.0,300.0,10.0,0.0,0.0,0.0,310.0,8.0,449.0,1912.0,77.0
2222,26.0,45.0,40.0,30.05,29.7,40.0,17.4,0.0,12.1,20.0,30.0,280.0,54.0,0.0,0.0,0.0,270.0,40.0,613.0,1758.0,60.0
436,14.0,35.0,40.0,30.24,29.9,29.0,7.4,0.0,-10.7,30.0,23.0,260.0,24.0,0.0,0.0,0.0,280.0,17.0,521.0,1833.0,47.0
217,59.0,75.0,60.0,30.11,29.78,64.0,4.4,10.0,8.4,0.0,64.0,20.0,17.0,0.0,0.0,0.0,10.0,12.0,523.0,1825.0,85.0
2597,15.0,41.0,40.0,30.18,29.83,31.0,12.0,0.0,4.1,24.0,29.0,260.0,33.0,0.0,0.0,0.0,280.0,24.0,555.0,1810.0,53.0
1238,59.0,68.0,76.0,30.0,29.71,62.0,11.3,3.0,-1.9,0.0,63.0,180.0,30.0,0.58,0.0,0.0,170.0,22.0,419.0,1938.0,73.0
2665,50.0,66.0,57.0,30.03,29.7,58.0,2.2,1.0,4.2,0.0,51.0,90.0,13.0,0.0,0.0,0.0,180.0,9.0,421.0,1924.0,80.0
1923,48.0,64.0,57.0,30.21,29.9,55.0,5.7,0.0,5.4,1.0,54.0,160.0,19.0,0.0,0.0,0.0,140.0,14.0,430.0,1914.0,74.0
1410,29.0,36.0,77.0,29.73,29.41,34.0,8.1,0.0,7.8,29.0,30.0,310.0,41.0,0.0,1.0,0.0,300.0,29.0,720.0,1623.0,41.0
2400,56.0,65.0,79.0,29.79,29.47,59.0,6.6,0.0,-1.0,0.0,53.0,280.0,36.0,0.0,0.0,0.0,290.0,26.0,525.0,1821.0,76.0
2399,61.0,62.0,96.0,29.8,29.5,62.0,8.9,0.0,-4.3,3.0,57.0,150.0,23.0,0.12,0.0,0.0,160.0,17.0,524.0,1823.0,67.0
1595,50.0,68.0,52.0,29.88,29.55,58.0,10.1,3.0,-0.8,0.0,55.0,330.0,33.0,0.0,0.0,0.0,340.0,24.0,417.0,1937.0,80.0
120,54.0,68.0,56.0,30.24,29.93,61.0,5.3,3.0,6.2,0.0,53.0,170.0,22.0,0.0,0.0,0.0,170.0,15.0,421.0,1924.0,83.0
847,55.0,67.0,81.0,29.97,29.66,58.0,7.2,2.0,4.5,0.0,56.0,310.0,41.0,0.18,0.0,0.0,310.0,33.0,420.0,1926.0,77.0
1939,45.0,58.0,59.0,29.93,29.65,52.0,3.0,0.0,-5.4,7.0,45.0,160.0,14.0,0.03,0.0,0.0,190.0,10.0,419.0,1928.0,71.0
1337,40.0,54.0,60.0,30.21,29.88,47.0,7.3,0.0,-0.2,11.0,46.0,30.0,26.0,0.0,0.0,0.0,30.0,20.0,557.0,1730.0,61.0
278,43.0,55.0,64.0,30.31,29.98,50.0,5.6,0.0,11.2,10.0,40.0,170.0,20.0,0.0,0.0,0.0,170.0,14.0,633.0,1644.0,69.0
1077,18.0,22.0,79.0,30.45,30.12,22.0,2.8,0.0,-0.1,43.0,14.0,170.0,15.0,0.12,1.0,1.9,180.0,12.0,723.0,1648.0,30.0
2051,39.0,49.0,73.0,30.11,29.84,44.0,4.9,0.0,-10.4,16.0,32.0,310.0,15.0,0.0,0.0,0.0,320.0,9.0,543.0,1751.0,65.0
433,41.0,52.0,76.0,29.52,29.26,46.0,10.0,0.0,7.7,13.0,42.0,240.0,47.0,0.38,0.0,0.0,250.0,37.0,526.0,1829.0,62.0
1503,32.0,43.0,70.0,30.03,29.76,38.0,8.7,0.0,6.5,22.0,38.0,150.0,25.0,0.06,0.0,0.0,160.0,18.0,557.0,1808.0,48.0
1726,29.0,43.0,58.0,30.14,29.82,37.0,4.0,0.0,-1.4,22.0,35.0,190.0,18.0,0.0,0.0,0.0,180.0,14.0,630.0,1647.0,50.0
1608,63.0,81.0,55.0,30.07,29.76,70.0,9.5,16.0,9.8,0.0,69.0,190.0,24.0,0.0,0.0,0.0,190.0,17.0,423.0,1936.0,92.0
261,23.0,37.0,61.0,30.29,29.94,31.0,5.9,0.0,-12.1,28.0,27.0,310.0,25.0,0.0,0.0,0.0,310.0,21.0,612.0,1708.0,46.0
2534,9.0,17.0,63.0,29.87,29.46,17.0,13.1,0.0,-5.1,48.0,7.0,270.0,40.0,0.0,3.0,0.0,280.0,31.0,722.0,1650.0,27.0
2526,11.0,24.0,61.0,30.08,29.73,19.0,13.3,0.0,1.6,41.0,16.0,290.0,42.0,0.0,0.0,0.0,270.0,29.0,725.0,1641.0,32.0
2256,42.0,45.0,88.0,29.73,29.42,44.0,8.1,0.0,-2.3,20.0,33.0,150.0,25.0,1.04,0.0,0.0,150.0,20.0,514.0,1837.0,57.0
682,2.0,17.0,50.0,29.87,29.5,14.0,15.0,0.0,-11.6,48.0,6.0,290.0,41.0,0.02,1.0,0.2,290.0,31.0,719.0,1622.0,27.0
2204,20.0,25.0,78.0,29.95,29.7,25.0,9.6,0.0,-2.6,40.0,19.0,160.0,36.0,0.03,6.0,0.8,160.0,26.0,643.0,1736.0,30.0
1264,67.0,82.0,61.0,30.14,29.83,72.0,12.1,17.0,9.8,0.0,75.0,170.0,34.0,0.0,0.0,0.0,170.0,24.0,438.0,1924.0,89.0
1724,62.0,68.0,83.0,29.7,29.46,64.0,16.1,3.0,23.0,0.0,60.0,160.0,41.0,0.76,0.0,0.0,180.0,30.0,628.0,1649.0,75.0
941,43.0,54.0,62.0,30.2,29.89,50.0,3.1,0.0,-13.2,11.0,38.0,190.0,15.0,0.0,0.0,0.0,180.0,12.0,521.0,1828.0,70.0
1646,58.0,75.0,60.0,29.87,29.54,64.0,5.1,10.0,4.2,0.0,66.0,70.0,15.0,0.0,0.0,0.0,30.0,12.0,500.0,1859.0,84.0
2493,26.0,29.0,87.0,30.03,29.73,28.0,2.8,0.0,-2.7,36.0,25.0,330.0,10.0,0.13,0.0,1.9,360.0,8.0,713.0,1621.0,33.0
1631,68.0,81.0,70.0,29.95,29.65,72.0,5.8,16.0,9.0,0.0,71.0,280.0,37.0,0.32,0.0,0.0,290.0,26.0,444.0,1918.0,91.0
